"Pay Later is an alternative ESTO payment method. For more information and activation please contact ESTO Partner Support.","„Mokėk vėliau“ yra atsiskaitymo būdas su ESTO. Norėdami sužinoti daugiau, kreipkitės į partnerių aptarnavimo personalą."
"Just confirm your order with 3 clicks and take your time! Pay later, within 30 days, without any extra fees!","Patvirtink savo užsakymą dabar, o apmokėk per 30 dienų."
"Buy now and pay later!","Mokėk vėliau"
"Payment module for paying with ESTO regular hire purchase","Apmokėjimas su tipiniu ESTO lizingu"
"ESTO hire purchase","Pirkimas išsimokėtinai su ESTO"
"Confirm a purchase in 60 seconds and pay in installments, conveniently and quickly. Just pay later!","Pirk išsimokėtinai su ESTO. Tai taip pat patogu ir greita, lyg mokant kortele."
"ESTO X is an alternative ESTO payment method. For more information and activation please contact ESTO Partner Support.","ESTO X tai lankstus būdas atsiskaityti su ESTO. Norėdami sužinoti daugiau, kreipkitės į partnerių aptarnavimo personalą."
"Pay 3 in equal parts. At no extra charge.","Sumokėk 3-imis lygiomis dalimis. Mokant laiku - be papildomų mokesčių."
"ESTO 3 - pay without additional cost within 3 months! Just pay later.","ESTO 3 - be pabrangimo, mokant laiku, 3-imis lygiomis dalimis, per 3 mėn.!"
"ESTO Pay bank payments are a direct payment method for all Baltic and Finnish banklinks. Contact ESTO Partner Support for additional information and activation.","ESTO Pay yra tiesioginis apmokėjimas kortelėmis, e. bankininkyste ir pan. Norėdami gauti daugiau informacijos susisiekite su ESTO klientų aptarnavimo personalu."
"Pay in the bank","Apmokėti per banką"
"Payment is made using a secure payment solution called KEVIN (UAB “KEVIN EU”), which is licensed by the Bank of Lithuania.","Mokėkite naudodami banko nuorodą arba kortelę"
"ESTO Pay card payments are Visa and Mastercard credit/debit card payments. Contact ESTO Partner Support for additional information and activation.","ESTO Pay apmokėjimas kortele apima „Visa“ ir „Mastercard“ kredito / debeto korteles. Dėl papildomos informacijos ir aktyvavimo susisiekite su ESTO partnerių palaikymo komanda."
"Pay by card (Visa/Mastercard)","Apmokėti kortele (Visa/Mastercard)"
"Payment is made using a secure payment solution.","Apmokėjimas atliekamas naudojant saugų mokėjimo sprendimą"
"3 interest-free payments over 3 months","3 beprocentiniai mokėjimai per 3 mėnesius"
"January","Sausis"
"February","Vasaris"
"March","Kovas"
"April","Balandis"
"May","Gegužė"
"June","Birželis"
"July","Liepa"
"August","Rugpjūtis"
"September","Rugsėjis"
"October","Spalis"
"November","Lapkritis"
"December","Gruodis"



